브랜드,구분,매체,디바이스,캠페인,광고그룹,광고이름,시작일,종료일,일일광고비
HR,BSA,네이버,PC,new. 다우오피스_브랜드검색PC,new. 다우오피스HR_브랜드검색PC,다우오피스HR,,,23225.8064516129
DO,BSA,네이버,PC,new. 다우오피스_브랜드검색PC,new. 다우오피스_브랜드검색PC,다우오피스,,,23225
HR,DA,사람인,PC,다우오피스_0203_1231_PC 기업 메인배너,다우오피스_0203_1231_PC 기업 메인배너,다우오피스_0203_1231_PC 기업 메인배너_올인원_인사담당자6,,,328333.3333333334
